sample,genotype,feature,score,position,chr,chr_position,end,strand,match,counts
reads-HPV16,HPV16,left,4,92,chr19,15725024,15724987,+,39,5
reads-HPV16,HPV16,left,4,92,chrX,12625503,12625540,-,38,4
reads-HPV16,HPV16,left,4,92,chr16,47355257,47355294,-,37,4
reads-HPV16,HPV16,left,4,92,chr9,27001101,27001062,+,38,4
reads-HPV16,HPV16,left,4,92,chr8,92899547,92899507,+,38,3
reads-HPV16,HPV16,left,4,92,chr7,141434904,141434864,+,39,4
reads-HPV16,HPV16,left,4,92,chr2,109891932,109891892,+,39,3
reads-HPV16,HPV16,left,4,92,chr19,41107017,41106977,+,38,3
reads-HPV16,HPV16,left,4,92,chrX,35917339,35917378,-,39,4
reads-HPV16,HPV16,left,4,92,chr7,153486010,153486045,-,37,2
reads-HPV16,HPV16,left,4,92,chr2,110479574,110479614,-,39,3
reads-HPV16,HPV16,left,7,92,chr3,33347267,33347237,+,28,1
reads-HPV16,HPV16,left,4,92,chrX,106252128,106252088,+,39,3
reads-HPV16,HPV16,left,4,92,chr4,126426392,126426352,+,39,3
reads-HPV16,HPV16,left,4,92,chr18,74965455,74965416,+,38,3
reads-HPV16,HPV16,left,4,92,chr10,53610358,53610323,+,35,3
reads-HPV16,HPV16,left,4,92,chrX,84382559,84382599,-,41,3
reads-HPV16,HPV16,left,4,92,chrX,128552959,128552999,-,39,3
reads-HPV16,HPV16,left,4,92,chr6,89017408,89017447,-,37,3
reads-HPV16,HPV16,left,4,92,chr5,103983381,103983421,-,38,3
reads-HPV16,HPV16,left,4,92,chr5,94272031,94272071,-,38,3
reads-HPV16,HPV16,left,4,92,chr18,51377146,51377186,-,38,3
reads-HPV16,HPV16,left,4,92,chr11,114906084,114906123,-,38,3
reads-HPV16,HPV16,left,4,92,chr10,73375056,73375096,-,38,3
reads-HPV16,HPV16,left,4,92,chrX,107961080,107961040,+,38,2
reads-HPV16,HPV16,left,1,92,chrX,105530877,105530840,+,35,1
reads-HPV16,HPV16,left,4,92,chr9,28622491,28622450,+,39,2
reads-HPV16,HPV16,left,1,92,chr9,74210936,74210895,+,38,1
reads-HPV16,HPV16,left,4,92,chr9,67497403,67497362,+,37,2
reads-HPV16,HPV16,left,1,92,chr8,138092123,138092086,+,36,1
reads-HPV16,HPV16,left,1,92,chr6,83979959,83979918,+,39,1
reads-HPV16,HPV16,left,4,92,chr6,34165149,34165108,+,38,2
