Chromosome 1	Position 1	Strand 1	Chromosome 2	Position 2	Strand 2	#Support reads (pair+softclip)	Confidence
chr21	17785303	+	chrVirus	4555	+	169+38	high
chrVirus	2241	-	chrY	6887312	+	172+37	high
chrVirus	5786	+	chr19	1611971	+	0+21	high
chr19	30846110	+	chrVirus	949	+	168+40	high
chr19	42969133	+	chrVirus	2700	-	153+23	high
chrVirus	6215	+	chr9	23190367	+	157+16	high
chr9	80456192	+	chrVirus	584	+	170+16	high
chr10	30231012	+	chrVirus	6460	+	157+15	high
chr10	31940205	+	chrVirus	1268	-	157+19	high
chrVirus	4352	+	chr10	111404751	+	0+22	high
chr4	89534805	+	chrVirus	5713	+	169+38	high
chrVirus	3988	+	chr4	24567651	+	170+16	high
chr16	15002029	+	chrVirus	7769	-	160+38	high
chrVirus	2051	+	chr16	69738538	+	147+30	high
chr16	50698761	+	chrVirus	5983	-	173+20	high
chr12	74482993	+	chrVirus	2404	-	173+21	high
chrVirus	3308	+	chr12	79946046	+	161+26	high
chr12	78794549	+	chrVirus	7411	-	167+38	high
chrVirus	2017	-	chr1	62482234	+	169+18	high
chrVirus	4919	+	chr1	210143387	+	166+38	high
chr1	111310601	+	chrVirus	3821	-	171+16	high
chrVirus	711	-	chr20	5497631	+	169+20	high
chr20	17822690	+	chrVirus	5430	-	157+33	high
chr20	36889042	+	chrVirus	282	+	139+8	high
chr20	36889048	+	chrVirus	282	+	0+4	high
chrVirus	7239	+	chr20	51818856	+	0+19	high
chrVirus	5045	+	chr2	9799049	+	157+16	high
chrVirus	4747	-	chr2	99435052	+	157+17	high
chr2	60800355	+	chrVirus	792	+	0+37	high
chr2	138702901	+	chrVirus	3648	-	170+35	high
chrVirus	6689	-	chr2	202777493	+	169+10	high
chr17	27279061	+	chrVirus	1671	+	167+38	high
chr8	96438244	+	chrVirus	2731	-	168+36	high
chrVirus	5151	+	chr15	76202899	+	158+16	high
chr15	59007967	+	chrVirus	5325	-	157+17	high
chr15	90742250	+	chrVirus	7084	-	173+20	high
chrVirus	3140	-	chr3	15008084	+	167+15	high
chrVirus	3377	+	chr3	30836888	+	157+15	high
chrVirus	2489	-	chr3	98916482	+	0+18	high
chrVirus	6039	-	chr6	42185098	+	168+15	high
chrVirus	4832	-	chr6	49722677	+	0+19	high
chr6	62015020	+	chrVirus	1051	-	157+15	high
chrVirus	3735	+	chr6	100619032	+	0+18	high
chrVirus	1165	+	chr14	40857932	+	157+16	high
chr14	93529569	+	chrVirus	1533	-	173+20	high
chrVirus	5094	+	chr7	83750614	+	155+15	high
chr7	51421301	+	chrVirus	6825	+	0+14	high
chr20	36889040	+	chrVirus	283	+	139+19	high
chr2	60800354	+	chrVirus	792	+	0+17	high
chr19	30846109	+	chrVirus	949	+	168+25	high
chrVirus	1052	+	chr6	62015018	-	157+21	high
chrVirus	1052	+	chr6	62015026	-	0+20	high
chrVirus	1169	+	chr14	40857934	+	157+23	high
chr3	98916480	-	chrVirus	2491	+	0+16	high
chr11	104343693	+	chrVirus	2880	+	166+38	high
chrVirus	3090	+	chr11	124813551	+	153+18	high
chrVirus	3090	+	chr11	124813552	+	153+32	high
chrVirus	3378	+	chr3	30836890	+	157+20	high
chrVirus	3737	+	chr6	100619028	+	0+14	high
chr12	96252991	-	chrVirus	4407	+	0+24	high
chr11	120162754	+	chrVirus	4651	+	173+30	high
chr2	99435053	-	chrVirus	4766	+	157+21	high
chr6	49722676	-	chrVirus	4838	+	0+16	high
chrVirus	5047	+	chr2	9799051	+	157+22	high
chrVirus	5095	+	chr7	83750617	+	155+19	high
chrVirus	5095	+	chr7	83750619	+	155+20	high
chrVirus	5156	+	chr15	76202901	+	158+24	high
chrVirus	5326	+	chr15	59007965	-	157+21	high
chrVirus	5430	+	chr20	17822688	-	157+20	high
chrVirus	6216	+	chr9	23190364	+	157+20	high
chrVirus	6216	+	chr9	23190369	+	157+21	high
chr10	30231010	+	chrVirus	6462	+	157+18	high
chr7	51421298	+	chrVirus	6835	+	150+15	high
chr7	51421300	+	chrVirus	6835	+	0+16	high
chrVirus	4407	-	chr19	33480527	+	0+39	low
chrVirus	7769	+	chr16	15002238	-	0+25	low
